# Ada Logistics Ephemeris Table v1
# columns: body,t_s,x_m,y_m,z_m
# body: Terra_0|Moon_Polar|Venus_Cloud_Port|Mars|Titan
Terra_0,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
Mars,0.000000E+00,2.250000E+11,0.000000E+00,0.000000E+00
Titan,0.000000E+00,1.421180E+12,0.000000E+00,0.000000E+00
Terra_0,1.555200E+07,0.000000E+00,0.000000E+00,0.000000E+00
Mars,1.555200E+07,1.212845E+11,3.661799E+11,0.000000E+00
Titan,1.555200E+07,1.711553E+12,1.580588E+11,0.000000E+00
Terra_0,3.110400E+07,0.000000E+00,0.000000E+00,0.000000E+00
Mars,3.110400E+07,-5.187420E+11,-4.266965E+10,0.000000E+00
Titan,3.110400E+07,1.387204E+12,3.412963E+11,0.000000E+00
Terra_0,4.665600E+07,0.000000E+00,0.000000E+00,0.000000E+00
Mars,4.665600E+07,2.320709E+11,-3.846793E+11,0.000000E+00
Titan,4.665600E+07,1.641546E+12,4.669737E+11,0.000000E+00
Terra_0,6.220800E+07,0.000000E+00,0.000000E+00,0.000000E+00
Mars,6.220800E+07,2.099631E+11,1.379243E+11,0.000000E+00
Titan,6.220800E+07,1.286795E+12,6.680475E+11,0.000000E+00
Terra_0,7.776000E+07,0.000000E+00,0.000000E+00,0.000000E+00
Mars,7.776000E+07,8.175632E+09,3.142616E+11,0.000000E+00
Titan,7.776000E+07,1.504571E+12,7.546003E+11,0.000000E+00
Terra_0,9.331200E+07,0.000000E+00,0.000000E+00,0.000000E+00
Mars,9.331200E+07,-4.805424E+11,-1.233813E+11,0.000000E+00
Titan,9.331200E+07,1.124440E+12,9.663452E+11,0.000000E+00
Terra_0,1.088640E+08,0.000000E+00,0.000000E+00,0.000000E+00
Mars,1.088640E+08,3.304723E+11,-3.696447E+11,0.000000E+00
Titan,1.088640E+08,1.306573E+12,1.007796E+12,0.000000E+00
Terra_0,1.244160E+08,0.000000E+00,0.000000E+00,0.000000E+00
Mars,1.244160E+08,1.681045E+11,2.649574E+11,0.000000E+00
Titan,1.244160E+08,9.073965E+11,1.223525E+12,0.000000E+00
Terra_0,1.399680E+08,0.000000E+00,0.000000E+00,0.000000E+00
Mars,1.399680E+08,-9.726331E+10,2.320653E+11,0.000000E+00
Titan,1.399680E+08,1.056141E+12,1.214942E+12,0.000000E+00
Terra_0,1.555200E+08,0.000000E+00,0.000000E+00,0.000000E+00
Mars,1.555200E+08,-4.073090E+11,-1.906564E+11,0.000000E+00
Titan,1.555200E+08,6.453732E+11,1.428724E+12,0.000000E+00
Terra_0,1.710720E+08,0.000000E+00,0.000000E+00,0.000000E+00
Mars,1.710720E+08,4.072628E+11,-3.239507E+11,0.000000E+00
Titan,1.710720E+08,7.641326E+11,1.366466E+12,0.000000E+00
